year,state,state_po,candidate,party,candidatevotes,totalvotes
1976,District of Columbia,DC,,independent,1195,168830
1976,District of Columbia,DC,,,288,168830
1976,Florida,FL,"Carter, Jimmy",democrat,1636000,3150631
1976,Florida,FL,"Ford, Gerald",republican,1469531,3150631
1976,Florida,FL,"McCarthy, Eugene """"Gene""""",independent,23643,3150631
1976,Florida,FL,"Anderson, Thomas J.",american,21325,3150631
1976,Florida,FL,,,132,3150631
1976,Georgia,GA,"Carter, Jimmy",democrat,979409,1463152
1976,Georgia,GA,"Ford, Gerald",republican,483743,1463152
1976,Hawaii,HI,"Carter, Jimmy",democrat,147375,291301
1976,Hawaii,HI,"Ford, Gerald",republican,140003,291301
1976,Hawaii,HI,"Macbride, Roger",libertarian,3923,291301
1976,Idaho,ID,"Ford, Gerald",republican,204151,340932
1976,Idaho,ID,"Carter, Jimmy",democrat,126549,340932
1976,Idaho,ID,"Maddox, Lester",american,5935,340932
1976,Idaho,ID,"Macbride, Roger",libertarian,3558,340932
1976,Idaho,ID,"Larouche, Lyndon, Jr.",u.s. labor,739,340932
1976,Illinois,IL,"Ford, Gerald",republican,2364269,4721282
1976,Illinois,IL,"Carter, Jimmy",democrat,2271295,4721282
1976,Illinois,IL,"McCarthy, Eugene """"Gene""""",independent,55939,4721282
1976,Illinois,IL,"Hall, Gus",communist party use,9250,4721282
1976,Illinois,IL,"Macbride, Roger",libertarian,8057,4721282
1976,Illinois,IL,,,4417,4721282
1976,Illinois,IL,"Camejo, Peter",socialist workers,3615,4721282
1976,Illinois,IL,"Julius """"Jules"""", Levin",socialist labor,2422,4721282
1976,Illinois,IL,"Larouche, Lyndon, Jr.",u.s. labor,2018,4721282
1976,Indiana,IN,"Ford, Gerald",republican,1183958,2220362
1976,Indiana,IN,"Carter, Jimmy",democrat,1014714,2220362
1976,Indiana,IN,"Anderson, Thomas J.",american,14048,2220362
1976,Indiana,IN,"Camejo, Peter",socialist workers,5695,2220362
1976,Indiana,IN,"Larouche, Lyndon, Jr.",u.s. labor,1947,2220362
1976,Iowa,IA,"Ford, Gerald",republican,632864,1279303
1976,Iowa,IA,"Carter, Jimmy",democrat,619931,1279303
1976,Iowa,IA,"McCarthy, Eugene """"Gene""""",independent,20057,1279303
1976,Iowa,IA,"Anderson, Thomas J.",american party of iowa,3041,1279303
1976,Iowa,IA,"Macbride, Roger",libertarian,1454,1279303
1976,Iowa,IA,"Hall, Gus",communist party use,551,1279303
1976,Iowa,IA,Scattering,,509,1279303
1976,Iowa,IA,"Camejo, Peter",socialist workers,262,1279303
1976,Iowa,IA,"Larouche, Lyndon, Jr.",u.s. labor,241,1279303
1976,Iowa,IA,"Zeidler, Frank",socialist u.s.a.,233,1279303
1976,Iowa,IA,"Julius """"Jules"""", Levin",socialist labor,160,1279303
1976,Kansas,KS,"Ford, Gerald",republican,502752,957845
1976,Kansas,KS,"Carter, Jimmy",democrat,430421,957845
1976,Kansas,KS,"McCarthy, Eugene """"Gene""""",independent,13185,957845
1976,Kansas,KS,"Anderson, Thomas J.",american,4724,957845
1976,Kansas,KS,"Macbride, Roger",independent,3242,957845
1976,Kansas,KS,"Maddox, Lester",conservative,2118,957845
1976,Kansas,KS,"Bubar, Benjamin """"Ben""""",prohibition,1403,957845
1976,Kentucky,KY,"Carter, Jimmy",democrat,615717,1167142
1976,Kentucky,KY,"Ford, Gerald",republican,531852,1167142
1976,Kentucky,KY,"Anderson, Thomas J.",american,8308,1167142
1976,Kentucky,KY,"McCarthy, Eugene """"Gene""""",independent,6837,1167142
1976,Kentucky,KY,"Maddox, Lester",american independent party,2328,1167142
1976,Kentucky,KY,"Macbride, Roger",libertarian,814,1167142
1976,Kentucky,KY,"Larouche, Lyndon, Jr.",u.s. labor,510,1167142
1976,Kentucky,KY,"Hall, Gus",communist party use,426,1167142
1976,Kentucky,KY,"Camejo, Peter",socialist workers,350,1167142
1976,Louisiana,LA,"Carter, Jimmy",democrat,661365,1277383
1976,Louisiana,LA,"Ford, Gerald",republican,587446,1277383
1976,Louisiana,LA,"Maddox, Lester",american independent party,10058,1277383
1976,Louisiana,LA,"Hall, Gus",communist party use,7417,1277383
1976,Louisiana,LA,"McCarthy, Eugene """"Gene""""",independent,6490,1277383
1976,Louisiana,LA,"Macbride, Roger",libertarian,3134,1277383
1976,Louisiana,LA,"Camejo, Peter",socialist workers,1473,1277383
1976,Maine,ME,"Ford, Gerald",republican,236320,482968
1976,Maine,ME,"Carter, Jimmy",democrat,232279,482968
1976,Maine,ME,"McCarthy, Eugene """"Gene""""",independent,10874,482968
1976,Maine,ME,"Bubar, Benjamin """"Ben""""",prohibition,3495,482968
1976,Maryland,MD,"Carter, Jimmy",democrat,759612,1432273
1976,Maryland,MD,"Ford, Gerald",republican,672661,1432273
1976,Massachusetts,MA,"Carter, Jimmy",democrat,1429475,2547558
1976,Massachusetts,MA,"Ford, Gerald",republican,1030276,2547558
1976,Massachusetts,MA,"McCarthy, Eugene """"Gene""""",independent,65637,2547558
1976,Massachusetts,MA,"Camejo, Peter",socialist workers,8138,2547558
1976,Massachusetts,MA,"Anderson, Thomas J.",american,7555,2547558
1976,Massachusetts,MA,"Larouche, Lyndon, Jr.",u.s. labor,4922,2547558
1976,Massachusetts,MA,Scattering,,1401,2547558
1976,Massachusetts,MA,"Macbride, Roger",libertarian,135,2547558
1976,Massachusetts,MA,"Julius """"Jules"""", Levin",socialist labor,19,2547558
1976,Michigan,MI,"Ford, Gerald",republican,1893742,3651590
1976,Michigan,MI,"Carter, Jimmy",democrat,1696714,3651590
1976,Michigan,MI,"McCarthy, Eugene """"Gene""""",independent,47905,3651590
1976,Michigan,MI,"Macbride, Roger",libertarian,5407,3651590
1976,Michigan,MI,"Wright, Margaret",human rights,3504,3651590
1976,Michigan,MI,"Camejo, Peter",socialist workers,1804,3651590
1976,Michigan,MI,"Larouche, Lyndon, Jr.",u.s. labor,1366,3651590
1976,Michigan,MI,"Julius """"Jules"""", Levin",socialist labor,1148,3651590
1976,Minnesota,MN,"Carter, Jimmy",democrat,1070440,1949931
1976,Minnesota,MN,"Ford, Gerald",republican,819395,1949931
1976,Minnesota,MN,"McCarthy, Eugene """"Gene""""",mccarthy '76,35490,1949931
1976,Minnesota,MN,"Anderson, Thomas J.",american,13592,1949931
1976,Minnesota,MN,"Camejo, Peter",socialist workers,4149,1949931
1976,Minnesota,MN,"Macbride, Roger",libertarian,3529,1949931
1976,Minnesota,MN,"Hall, Gus",communist party use,1092,1949931
1976,Minnesota,MN,"Wright, Margaret",people's,635,1949931
1976,Minnesota,MN,"Larouche, Lyndon, Jr.",international development bank,543,1949931
1976,Minnesota,MN,"Julius """"Jules"""", Levin",industrial government party,370,1949931
1976,Minnesota,MN,"Zeidler, Frank",socialist,354,1949931
1976,Minnesota,MN,,,342,1949931
1976,Mississippi,MS,"Carter, Jimmy",democrat,381329,768390
1976,Mississippi,MS,"Ford, Gerald",republican,366846,768390
1976,Mississippi,MS,"Anderson, Thomas J.",american,6678,768390
1976,Mississippi,MS,"McCarthy, Eugene """"Gene""""",independent,4074,768390
1976,Mississippi,MS,"Maddox, Lester",american independent party,4049,768390
1976,Mississippi,MS,"Camejo, Peter",socialist workers,2805,768390
1976,Mississippi,MS,"Macbride, Roger",libertarian,2609,768390
1976,Missouri,MO,"Carter, Jimmy",democrat,998387,1953600
1976,Missouri,MO,"Ford, Gerald",republican,927443,1953600
1976,Missouri,MO,"McCarthy, Eugene """"Gene""""",independent,24029,1953600
1976,Missouri,MO,Other,,3741,1953600
1976,Montana,MT,"Ford, Gerald",republican,173703,328734
1976,Montana,MT,"Carter, Jimmy",democrat,149259,328734
1976,Montana,MT,"Anderson, Thomas J.",american,5772,328734
1976,Nebraska,NE,"Ford, Gerald",republican,359219,606749
1976,Nebraska,NE,"Carter, Jimmy",democrat,233293,606749
1976,Nebraska,NE,"McCarthy, Eugene """"Gene""""",independent,9383,606749
1976,Nebraska,NE,"Maddox, Lester",american independent party,3378,606749
1976,Nebraska,NE,"Macbride, Roger",libertarian,1476,606749
1976,Nevada,NV,"Ford, Gerald",republican,101273,201876
1976,Nevada,NV,"Carter, Jimmy",democrat,92479,201876
1976,Nevada,NV,Other,,5108,201876
1976,Nevada,NV,"Macbride, Roger",libertarian,1519,201876
1976,Nevada,NV,"Maddox, Lester",american independent party,1497,201876
1976,New Hampshire,NH,"Ford, Gerald",republican,185935,339627
1976,New Hampshire,NH,"Carter, Jimmy",democrat,147645,339627
1976,New Hampshire,NH,"McCarthy, Eugene """"Gene""""",independent,4095,339627
1976,New Hampshire,NH,"Macbride, Roger",libertarian,936,339627
1976,New Hampshire,NH,Scattering,,603,339627
1976,New Hampshire,NH,"Larouche, Lyndon, Jr.",u.s. labor,186,339627
1976,New Hampshire,NH,"Camejo, Peter",socialist workers,161,339627
1976,New Hampshire,NH,"Julius """"Jules"""", Levin",socialist labor,66,339627
1976,New Jersey,NJ,"Ford, Gerald",republican,1509688,3014472
1976,New Jersey,NJ,"Carter, Jimmy",democrat,1444653,3014472
1976,New Jersey,NJ,"McCarthy, Eugene """"Gene""""",independent,32717,3014472
1976,New Jersey,NJ,"Macbride, Roger",libertarian,9449,3014472
1976,New Jersey,NJ,"Maddox, Lester",american independent party,7716,3014472
1976,New Jersey,NJ,"Julius """"Jules"""", Levin",socialist labor,3686,3014472
1976,New Jersey,NJ,"Hall, Gus",communist party use,1662,3014472
1976,New Jersey,NJ,"Larouche, Lyndon, Jr.",u.s. labor,1650,3014472
1976,New Jersey,NJ,"Camejo, Peter",socialist workers,1184,3014472
1976,New Jersey,NJ,"Wright, Margaret",peace & freedom,1044,3014472
1976,New Jersey,NJ,"Bubar, Benjamin """"Ben""""",prohibition,554,3014472
1976,New Jersey,NJ,"Zeidler, Frank",socialist,469,3014472
1976,New Mexico,NM,"Ford, Gerald",republican,211419,416590
1976,New Mexico,NM,"Carter, Jimmy",democrat,201148,416590
1976,New Mexico,NM,"Camejo, Peter",socialist workers,2462,416590
1976,New Mexico,NM,"Macbride, Roger",libertarian,1110,416590
1976,New Mexico,NM,"Zeidler, Frank",socialist,240,416590
1976,New Mexico,NM,"Bubar, Benjamin """"Ben""""",prohibition,211,416590
1976,New York,NY,"Carter, Jimmy",democrat,3244165,6668262
1976,New York,NY,"Ford, Gerald",republican,2825913,6668262
1976,New York,NY,"Ford, Gerald",conservative,274878,6668262
1976,New York,NY,"Carter, Jimmy",liberal party,145393,6668262
1976,New York,NY,Other,,143037,6668262
1976,New York,NY,"Macbride, Roger",free libertarian,12197,6668262
1976,New York,NY,"Hall, Gus",communist party use,10270,6668262
1976,New York,NY,"Camejo, Peter",socialist workers,6996,6668262
1976,New York,NY,"Larouche, Lyndon, Jr.",labor,5413,6668262
1976,North Carolina,NC,"Carter, Jimmy",democrat,927365,1677906
1976,North Carolina,NC,"Ford, Gerald",republican,741960,1677906
1976,North Carolina,NC,"Anderson, Thomas J.",american,5607,1677906
1976,North Carolina,NC,"Macbride, Roger",libertarian,2219,1677906
1976,North Carolina,NC,"Larouche, Lyndon, Jr.",u.s. labor,755,1677906
1976,North Dakota,ND,"Ford, Gerald",republican,153684,297308
1976,North Dakota,ND,"Carter, Jimmy",democrat,136078,297308
1976,North Dakota,ND,"Anderson, Thomas J.",american,3698,297308
1976,North Dakota,ND,"McCarthy, Eugene """"Gene""""",independent,2952,297308
1976,North Dakota,ND,"Maddox, Lester",american independent party,269,297308
1976,North Dakota,ND,"Macbride, Roger",libertarian,256,297308
1976,North Dakota,ND,"Larouche, Lyndon, Jr.",u.s. labor,142,297308
1976,North Dakota,ND,"Hall, Gus",communist party use,85,297308
1976,North Dakota,ND,"Bubar, Benjamin """"Ben""""",prohibition,63,297308
1976,North Dakota,ND,"Camejo, Peter",socialist workers,43,297308
1976,North Dakota,ND,"Zeidler, Frank",socialist,38,297308
1976,Ohio,OH,"Carter, Jimmy",democrat,2009959,4110456
1976,Ohio,OH,"Ford, Gerald",republican,2000626,4110456
1976,Ohio,OH,"McCarthy, Eugene """"Gene""""",independent,58267,4110456
1976,Ohio,OH,"Maddox, Lester",american independent party,15508,4110456
1976,Ohio,OH,"Macbride, Roger",libertarian,8952,4110456
1976,Ohio,OH,"Hall, Gus",communist party use,7817,4110456
1976,Ohio,OH,"Camejo, Peter",socialist workers,4833,4110456
1976,Ohio,OH,"Larouche, Lyndon, Jr.",u.s. labor,4364,4110456
1976,Ohio,OH,"Julius """"Jules"""", Levin",socialist labor,68,4110456
1976,Ohio,OH,"Bubar, Benjamin """"Ben""""",prohibition,62,4110456
1976,Oklahoma,OK,"Ford, Gerald",republican,545708,1092251
1976,Oklahoma,OK,"Carter, Jimmy",democrat,532442,1092251
1976,Oklahoma,OK,"McCarthy, Eugene """"Gene""""",independent,14101,1092251
1976,Oregon,OR,"Ford, Gerald",republican,492120,1029876
1976,Oregon,OR,"Carter, Jimmy",democrat,490407,1029876
1976,Oregon,OR,"McCarthy, Eugene """"Gene""""",independent,40207,1029876
1976,Oregon,OR,,,6107,1029876
1976,Oregon,OR,"Anderson, Thomas J.",american,1035,1029876
1976,Pennsylvania,PA,"Carter, Jimmy",democrat,2328677,4620787
1976,Pennsylvania,PA,"Ford, Gerald",republican,2205604,4620787
1976,Pennsylvania,PA,"McCarthy, Eugene """"Gene""""",mccarthy '76,50584,4620787
1976,Pennsylvania,PA,"Maddox, Lester",constitution party,25344,4620787
1976,Pennsylvania,PA,"Camejo, Peter",socialist workers,3009,4620787
1976,Pennsylvania,PA,Other,,2934,4620787
1976,Pennsylvania,PA,"Larouche, Lyndon, Jr.",u.s. labor,2744,4620787
1976,Pennsylvania,PA,"Hall, Gus",communist party use,1891,4620787
1976,Rhode Island,RI,"Carter, Jimmy",democrat,227636,410584
1976,Rhode Island,RI,"Ford, Gerald",republican,181249,410584
1976,Rhode Island,RI,"Macbride, Roger",libertarian,715,410584
1976,Rhode Island,RI,"Camejo, Peter",socialist workers,462,410584
1976,Rhode Island,RI,"Hall, Gus",communist party use,334,410584
1976,Rhode Island,RI,"Julius """"Jules"""", Levin",socialist labor,188,410584
1976,South Carolina,SC,"Carter, Jimmy",democrat,450807,802583
1976,South Carolina,SC,"Ford, Gerald",republican,346149,802583
1976,South Carolina,SC,"Anderson, Thomas J.",american,2996,802583
1976,South Carolina,SC,"Maddox, Lester",american independent party,1950,802583
1976,South Carolina,SC,,,681,802583
1976,South Dakota,SD,"Ford, Gerald",republican,151505,300678
1976,South Dakota,SD,"Carter, Jimmy",democrat,147068,300678
1976,South Dakota,SD,"Macbride, Roger",libertarian,1619,300678
1976,South Dakota,SD,"Hall, Gus",communist party use,318,300678
1976,South Dakota,SD,"Camejo, Peter",socialist workers,168,300678
1976,Tennessee,TN,"Carter, Jimmy",democrat,825879,1476346
1976,Tennessee,TN,"Ford, Gerald",republican,633969,1476346
1976,Tennessee,TN,"Anderson, Thomas J.",independent,5769,1476346
1976,Tennessee,TN,"McCarthy, Eugene """"Gene""""",independent,5004,1476346
1976,Tennessee,TN,"Maddox, Lester",independent,2303,1476346
1976,Tennessee,TN,"Macbride, Roger",independent,1375,1476346
1976,Tennessee,TN,"Hall, Gus",independent,547,1476346
1976,Tennessee,TN,"Larouche, Lyndon, Jr.",independent,512,1476346
1976,Tennessee,TN,"Bubar, Benjamin """"Ben""""",independent,442,1476346
1976,Tennessee,TN,,independent,316,1476346
1976,Tennessee,TN,,,230,1476346
1976,Texas,TX,"Carter, Jimmy",democrat,2082319,4071884
1976,Texas,TX,"Ford, Gerald",republican,1953300,4071884
1976,Texas,TX,"McCarthy, Eugene """"Gene""""",independent,20118,4071884
1976,Texas,TX,"Anderson, Thomas J.",american,11442,4071884
1976,Texas,TX,,,2982,4071884
1976,Texas,TX,"Camejo, Peter",socialist workers,1723,4071884
1976,Utah,UT,"Ford, Gerald",republican,337908,541218
1976,Utah,UT,"Carter, Jimmy",democrat,182110,541218
1976,Utah,UT,"Anderson, Thomas J.",american,13304,541218
1976,Utah,UT,"McCarthy, Eugene """"Gene""""",independent,3907,541218
1976,Utah,UT,"Macbride, Roger",liberal party,2438,541218
1976,Utah,UT,"Maddox, Lester",concerned citizens,1162,541218
1976,Utah,UT,"Camejo, Peter",independent,268,541218
1976,Utah,UT,"Hall, Gus",independent,121,541218
1976,Vermont,VT,"Ford, Gerald",republican,100387,183902
1976,Vermont,VT,"Carter, Jimmy",democrat,77798,183902
1976,Vermont,VT,"McCarthy, Eugene """"Gene""""",independent,4001,183902
1976,Vermont,VT,Other,,1090,183902
1976,Vermont,VT,"Camejo, Peter",socialist workers,430,183902
1976,Vermont,VT,"Larouche, Lyndon, Jr.",u.s. labor,196,183902
1976,Virginia,VA,"Ford, Gerald",republican,836554,1697094
1976,Virginia,VA,"Carter, Jimmy",democrat,813896,1697094
1976,Virginia,VA,"Camejo, Peter",socialist workers,17802,1697094
1976,Virginia,VA,"Anderson, Thomas J.",american,16686,1697094
1976,Virginia,VA,"Larouche, Lyndon, Jr.",u.s. labor,7508,1697094
1976,Virginia,VA,"Macbride, Roger",libertarian,4648,1697094
1976,Washington,WA,"Ford, Gerald",republican,777732,1555534
1976,Washington,WA,"Carter, Jimmy",democrat,717323,1555534
1976,Washington,WA,"McCarthy, Eugene """"Gene""""",independent,36986,1555534
1976,Washington,WA,"Maddox, Lester",american independent party,8585,1555534
1976,Washington,WA,Other,,5482,1555534
1976,Washington,WA,"Macbride, Roger",libertarian,5042,1555534
1976,Washington,WA,"Anderson, Thomas J.",constitution party,1046,1555534
1976,Washington,WA,"Camejo, Peter",socialist workers,905,1555534
1976,Washington,WA,"Larouche, Lyndon, Jr.",u.s. labor,903,1555534
1976,Washington,WA,"Hall, Gus",communist party use,817,1555534
1976,Washington,WA,"Julius """"Jules"""", Levin",socialist labor,713,1555534
1976,West Virginia,WV,"Carter, Jimmy",democrat,435864,750590
1976,West Virginia,WV,"Ford, Gerald",republican,314726,750590
1976,Wisconsin,WI,"Carter, Jimmy",democrat,1040232,2101336
1976,Wisconsin,WI,"Ford, Gerald",republican,1004987,2101336
1976,Wisconsin,WI,"McCarthy, Eugene """"Gene""""",independent,34943,2101336
1976,Wisconsin,WI,"Maddox, Lester",american independent party,8552,2101336
1976,Wisconsin,WI,"Zeidler, Frank",socialist,4298,2101336
1976,Wisconsin,WI,"Macbride, Roger",libertarian,3814,2101336
1976,Wisconsin,WI,Other,,2430,2101336
1976,Wisconsin,WI,"Camejo, Peter",socialist workers,1691,2101336
1976,Wisconsin,WI,"Julius """"Jules"""", Levin",socialist labor,389,2101336
1976,Wyoming,WY,"Ford, Gerald",republican,92717,156343
1976,Wyoming,WY,"Carter, Jimmy",democrat,62239,156343
1976,Wyoming,WY,,,1387,156343
1980,Alabama,AL,"Reagan, Ronald",republican,654192,1341929
1980,Alabama,AL,"Carter, Jimmy",democrat,636730,1341929
1980,Alabama,AL,"Anderson, John B.",independent,16481,1341929
1980,Alabama,AL,"Rarick, John",conservative,15010,1341929
1980,Alabama,AL,"Clark, Edward """"Ed""""",libertarian,13318,1341929
1980,Alabama,AL,"Bubar, Benjamin """"Ben""""",statesman,1743,1341929
1980,Alabama,AL,"Hall, Gus",communist party use,1629,1341929
1980,Alabama,AL,"Deberry, Clifton",socialist workers,1303,1341929
1980,Alabama,AL,"McReynolds, David",socialist,1006,1341929
1980,Alabama,AL,"Commoner, Barry",citizens,517,1341929
1980,Alaska,AK,"Reagan, Ronald",republican,86112,158445
1980,Alaska,AK,"Carter, Jimmy",democrat,41842,158445
1980,Alaska,AK,"Clark, Edward """"Ed""""",libertarian,18479,158445
1980,Alaska,AK,"Anderson, John B.",independent,11155,158445
1980,Alaska,AK,,,857,158445
1980,Arizona,AZ,"Reagan, Ronald",republican,529688,873945
1980,Arizona,AZ,"Carter, Jimmy",democrat,246843,873945
1980,Arizona,AZ,"Anderson, John B.",independent,76952,873945
1980,Arizona,AZ,"Clark, Edward """"Ed""""",libertarian,18784,873945
1980,Arizona,AZ,"Deberry, Clifton",socialist workers,1100,873945
1980,Arizona,AZ,"Commoner, Barry",citizens,551,873945
1980,Arizona,AZ,"Hall, Gus",communist party use,25,873945
1980,Arizona,AZ,"Griswold, Deirdre",workers world,2,873945
1980,Arkansas,AR,"Reagan, Ronald",republican,403164,837582
1980,Arkansas,AR,"Carter, Jimmy",democrat,398041,837582
1980,Arkansas,AR,"Anderson, John B.",independent,22468,837582
1980,Arkansas,AR,"Clark, Edward """"Ed""""",libertarian,8970,837582
1980,Arkansas,AR,"Commoner, Barry",citizens,2345,837582
1980,Arkansas,AR,"Bubar, Benjamin """"Ben""""",statesman,1350,837582
1980,Arkansas,AR,"Hall, Gus",communist party use,1244,837582
1980,California,CA,"Reagan, Ronald",republican,4522994,8582938
1980,California,CA,"Carter, Jimmy",democrat,3082943,8582938
1980,California,CA,"Anderson, John B.",independent,739618,8582938
1980,California,CA,"Clark, Edward """"Ed""""",libertarian,148390,8582938
1980,California,CA,"Commoner, Barry",citizens,61046,8582938
1980,California,CA,"Smith, Maureen",peace & freedom,18106,8582938
1980,California,CA,"Rarick, John",american independent party,9841,8582938
1980,Colorado,CO,"Reagan, Ronald",republican,652264,1184450
1980,Colorado,CO,"Carter, Jimmy",democrat,368009,1184450
1980,Colorado,CO,"Anderson, John B.",national unity campaign,130633,1184450
1980,Colorado,CO,"Clark, Edward """"Ed""""",libertarian,25744,1184450
1980,Colorado,CO,"Commoner, Barry",citizens,5614,1184450
1980,Colorado,CO,"Bubar, Benjamin """"Ben""""",statesman,1180,1184450
1980,Colorado,CO,"Pulley, Andrew",socialist workers,519,1184450
1980,Colorado,CO,"Hall, Gus",communist party use,487,1184450
1980,Connecticut,CT,"Reagan, Ronald",republican,677210,1406285
1980,Connecticut,CT,"Carter, Jimmy",democrat,541732,1406285
1980,Connecticut,CT,"Anderson, John B.",anderson coalition,171807,1406285
1980,Connecticut,CT,"Clark, Edward """"Ed""""",libertarian,8570,1406285
1980,Connecticut,CT,"Commoner, Barry",citizens,6130,1406285
1980,Connecticut,CT,,,836,1406285
1980,Delaware,DE,"Reagan, Ronald",republican,111252,235668
1980,Delaware,DE,"Carter, Jimmy",democrat,105754,235668
1980,Delaware,DE,"Anderson, John B.",independent,16288,235668
1980,Delaware,DE,"Clark, Edward """"Ed""""",libertarian,1974,235668
1980,Delaware,DE,"Greaves, Percy L, Jr.",american,400,235668
1980,District of Columbia,DC,"Carter, Jimmy",democrat,130231,173889
1980,District of Columbia,DC,"Reagan, Ronald",republican,23313,173889
1980,District of Columbia,DC,"Anderson, John B.",independent,16131,173889
1980,District of Columbia,DC,"Commoner, Barry",citizens,1826,173889
1980,District of Columbia,DC,"Clark, Edward """"Ed""""",libertarian,1104,173889
1980,District of Columbia,DC,,,690,173889
1980,District of Columbia,DC,"Hall, Gus",communist party use,369,173889
1980,District of Columbia,DC,"Deberry, Clifton",socialist workers,173,173889
1980,District of Columbia,DC,"Griswold, Deirdre",workers world,52,173889
1980,Florida,FL,"Reagan, Ronald",republican,2046951,3686927
1980,Florida,FL,"Carter, Jimmy",democrat,1419475,3686927
1980,Florida,FL,"Anderson, John B.",independent,189692,3686927
1980,Florida,FL,"Clark, Edward """"Ed""""",libertarian,30524,3686927
1980,Florida,FL,,,285,3686927
1980,Georgia,GA,"Carter, Jimmy",democrat,890955,1596805
1980,Georgia,GA,"Reagan, Ronald",republican,654168,1596805
1980,Georgia,GA,"Anderson, John B.",independent,36055,1596805
1980,Georgia,GA,"Clark, Edward """"Ed""""",libertarian,15627,1596805
1980,Hawaii,HI,"Carter, Jimmy",democrat,135879,303287
1980,Hawaii,HI,"Reagan, Ronald",republican,130112,303287
1980,Hawaii,HI,"Anderson, John B.",independent,32021,303287
1980,Hawaii,HI,"Clark, Edward """"Ed""""",libertarian,3269,303287
1980,Hawaii,HI,"Commoner, Barry",citizens,1548,303287
1980,Hawaii,HI,"Hall, Gus",communist party use,458,303287
1980,Idaho,ID,"Reagan, Ronald",republican,290699,437431
1980,Idaho,ID,"Carter, Jimmy",democrat,110192,437431
1980,Idaho,ID,"Anderson, John B.",independent,27058,437431
1980,Idaho,ID,"Clark, Edward """"Ed""""",libertarian,8425,437431
1980,Idaho,ID,"Rarick, John",american independent party,1057,437431
1980,Illinois,IL,"Reagan, Ronald",republican,2358049,4749721
1980,Illinois,IL,"Carter, Jimmy",democrat,1981413,4749721
